Date,Q_DET_SWG,Q_DET_GEN,Q_DET_LRO,Q_DET_URO,DET_QTot,Q_BCL_GEN,Q_BCL_SWG,BCL_QTot,DET_TDG,BCL1_TDG,BCL2_TDG,BCLO_TDG
2024-03-29T00:00:00-0700,0,0,0,0,0,1850.00000016951,0,1850.00000016951,102.285242290749,101.920438957476,101.920438957476,101.508916323731
2024-03-29T01:00:00-0700,0,0,0,0,0,1850.00000016951,0,1850.00000016951,102.422907488987,101.920438957476,101.783264746228,101.371742112483
2024-03-29T02:00:00-0700,0,0,0,0,0,1840.00000002543,0,1840.00000002543,102.973568281938,101.920438957476,101.783264746228,101.371742112483
2024-03-29T03:00:00-0700,0,0,0,0,0,1829.99999988134,0,1829.99999988134,103.248898678414,101.783264746228,101.783264746228,101.371742112483
2024-03-29T04:00:00-0700,0,0,0,0,0,1829.99999988134,0,1829.99999988134,103.386563876652,101.783264746228,101.783264746228,101.371742112483
2024-03-29T05:00:00-0700,0,280.000000149734,0,0,280.000000149734,1829.99999988134,0,1829.99999988134,103.386563876652,101.783264746228,101.646090534979,101.371742112483
2024-03-29T06:00:00-0700,0,4729.99999999435,0,0,4729.99999999435,1840.00000002543,0,1840.00000002543,102.698237885463,101.783264746228,101.646090534979,101.234567901235
2024-03-29T07:00:00-0700,0,4760.00000007346,0,0,4760.00000007346,1829.99999988134,0,1829.99999988134,102.564102564103,101.785714285714,101.785714285714,101.373626373626
2024-03-29T08:00:00-0700,0,4749.99999992937,0,0,4749.99999992937,1959.9999999887,0,1959.9999999887,102.426247587538,101.785714285714,101.785714285714,101.373626373626
2024-03-29T09:00:00-0700,0,4529.99999993785,0,0,4529.99999993785,1999.99999985874,0,1999.99999985874,102.288392610973,101.923076923077,101.923076923077,101.510989010989
2024-03-29T10:00:00-0700,0,250.000000070629,0,0,250.000000070629,1959.9999999887,0,1959.9999999887,102.288392610973,102.06043956044,102.197802197802,101.510989010989
2024-03-29T11:00:00-0700,0,0,0,0,0,1890.00000003955,0,1890.00000003955,102.426247587538,102.06043956044,102.335164835165,101.648351648352
2024-03-29T12:00:00-0700,0,0,0,0,0,1890.00000003955,0,1890.00000003955,102.84373274434,102.338376891334,102.613480055021,101.925722145805
2024-03-29T13:00:00-0700,0,0,0,0,0,1850.00000016951,0,1850.00000016951,103.533959138597,102.338376891334,102.751031636864,102.063273727648
2024-03-29T14:00:00-0700,0,0,0,0,0,1829.99999988134,0,1829.99999988134,104.230024882499,102.617079889807,102.892561983471,102.341597796143
2024-03-29T15:00:00-0700,0,0,0,0,0,1809.99999994632,0,1809.99999994632,104.644733204313,102.617079889807,102.892561983471,102.341597796143
2024-03-29T16:00:00-0700,0,0,0,0,0,1790.0000000113,0,1790.0000000113,104.921205418855,102.479338842975,102.892561983471,102.479338842975
2024-03-29T17:00:00-0700,0,0,0,0,0,1800.00000015538,0,1800.00000015538,105.343300110742,102.620689655172,102.896551724138,102.48275862069
2024-03-29T18:00:00-0700,0,280.000000149734,0,0,280.000000149734,1800.00000015538,0,1800.00000015538,105.481727574751,102.620689655172,102.758620689655,102.48275862069
2024-03-29T19:00:00-0700,0,4729.99999999435,0,0,4729.99999999435,1800.00000015538,0,1800.00000015538,103.959025470653,102.48275862069,102.620689655172,102.344827586207
